,id_hotel,nombre,servicios,calificación,texto calificación,comentarios,estrellas,precio
0,29357005,"The Dixon, Autograph Collection",[],"9,2","9,2 de 10","['Impresionante', '362\xa0comentarios']",,637 €
1,21659,"The Cumberland, London",[],"8,6","8,6 de 10","['Excelente', '567\xa0comentarios']",,946 €
2,188537,Taplow House Hotel & Spa,['Bañera de hidromasaje'],"8,2","8,2 de 10","['Muy bueno', '323\xa0comentarios']",,569 €
3,1792030,Shendish Manor Hotel & Golf Course,[],"8,2","8,2 de 10","['Muy bueno', '773\xa0comentarios']",,355 €
